country,sender nationality,reciever nationality,debit,credit
OM,OM,OM,3.6,0.0
OM,OM,OM,1.57,0.0
OM,IN,OM,13.15,0.0
IE,IN,IE,20.67,0.0
OM,JO,OM,8.83,0.0
OM,OM,OM,15.5,0.0
OM,OM,OM,7.6,0.0
OM,OM,OM,1.8,0.0
OM,OM,OM,5.0,0.0
OM,IN,OM,3.0,0.0
AE,PK,AE,0.43,0.0
OM,PK,OM,3.02,0.0
OM,PK,OM,0.2,0.0
OM,PK,OM,5.0,0.0
OM,IN,OM,14.44,0.0
OM,IN,OM,5.0,0.0
OM,IN,OM,7.45,0.0
OM,OM,OM,1.5,0.0
OM,OM,OM,2.8,0.0
OM,OM,OM,3.67,0.0
OM,OM,OM,2.5,0.0
OM,OM,OM,10.0,0.0
OM,OM,OM,63.68,0.0
OM,OM,OM,10.0,0.0
OM,OM,OM,2.3,0.0
AE,OM,AE,10.11,0.0
AE,OM,AE,1.07,0.0
AE,OM,AE,17.12,0.0
OM,OM,OM,13.5,0.0
AE,OM,AE,22.57,0.0
AE,OM,AE,1.07,0.0
AE,OM,AE,3.74,0.0
AE,OM,AE,6.42,0.0
AE,OM,AE,0.53,0.0
AE,OM,AE,2.14,0.0
OM,OM,OM,4.49,0.0
OM,OM,OM,1.78,0.0
OM,OM,OM,3.5,0.0
OM,IN,OM,127.44,0.0
OM,OM,OM,7.79,0.0
NL,OM,NL,57.43,0.0
OM,OM,OM,2.73,0.0
US,LB,US,8.24,0.0
OM,OM,OM,0.49,0.0
OM,JO,OM,3.67,0.0
AE,OM,AE,3.49,0.0
IE,OM,IE,3.14,0.0
OM,OM,OM,3.15,0.0
OM,OM,OM,1.43,0.0
OM,IN,OM,1.6,0.0
OM,OM,OM,4.6,0.0
OM,OM,OM,2.5,0.0
OM,IQ,OM,6.28,0.0
OM,OM,OM,2.4,0.0
OM,OM,OM,3.78,0.0
OM,OM,OM,5.0,0.0
OM,OM,OM,26.63,0.0
OM,OM,OM,55.0,0.0
OM,KE,OM,1.17,0.0
OM,KE,OM,11.65,0.0
OM,KE,OM,0.2,0.0
OM,KE,OM,65.0,0.0
OM,KE,OM,20.0,0.0
AE,IQ,AE,182.61,0.0
OM,OM,OM,10.67,0.0
OM,OM,OM,5.82,0.0
OM,OM,OM,1.23,0.0
OM,OM,OM,3.8,0.0
OM,OM,OM,52.5,0.0
OM,OM,OM,2.5,0.0
US,OM,US,0.89,0.0
OM,IQ,OM,262.0,0.0
OM,IQ,OM,50.0,0.0
OM,OM,OM,11.6,0.0
OM,OM,OM,10.0,0.0
OM,IN,OM,96.73,0.0
OM,IN,OM,4.7,0.0
OM,OM,OM,25.65,0.0
OM,EG,OM,4.0,0.0
OM,LB,OM,10.4,0.0
OM,PK,OM,28.1,0.0
OM,IN,OM,1.25,0.0
